x,y
638885.6886911727,5067457.659779869
638813.4195078257,5067174.147701792
638689.9931442123,5066935.350232491
638551.5852739457,5066722.364098614
638422.3373073343,5066587.574039187
638302.164075347,5066528.48730938
638135.7805095024,5066443.406060244
638003.7215232298,5066291.094349869
637906.8762157653,5066109.689093972
637813.5064780603,5065871.936253708
637760.3350995826,5065656.792248879
637718.3675677723,5065441.615321895
637594.5282023137,5065182.774611607
637393.3207836191,5064892.615399808
637152.5736531183,5064586.264215007
636922.1933861732,5064230.712096292
636719.3843519264,5063854.282703079
636496.7813946481,5063445.183589673
636322.1458397736,5063051.802529316
636146.0680713567,5062711.984442183
635926.4231702888,5062317.713391343
635731.1638836493,5061977.733664698
635591.194920745,5061698.406803693
635465.9965851931,5061452.127667166
635348.7227545177,5061240.630108351
635229.7844475734,5061044.92966486
635012.4466645475,5060687.106221233
634699.8364913608,5060165.915248362
634340.884633086,5059566.012587131
633979.7221141465,5058915.888412745
633664.3496136764,5058267.280154929
633374.111183757,5057686.063523374
633176.4282102728,5057283.251479571
633023.954258803,5057024.260225261
632830.7908999231,5056751.590999656
632646.6385880227,5056565.0596209
632411.5723472062,5056281.362627691
632160.9774802041,5055833.088905174
631904.0495996941,5055300.434452239
631653.563011955,5054694.338316652
631437.2638677281,5054079.636036904
631207.4685270828,5053550.951273107
631022.0143860908,5053203.079558952
630873.6212052919,5053010.74867266
630698.9626341357,5052783.5933025
630589.9219365265,5052647.296081221
630498.5479126419,5052537.388096916
630456.680545256,5052399.248854477
630468.4832647413,5052212.229854974
630478.4219854154,5051942.410036023
630449.1650463648,5051633.729238059
630330.1691784071,5051155.188090579
630141.2789483067,5050642.910719361
629955.2647565722,5050158.579423095
629758.9662875026,5049749.778912049
629630.2497281359,5049446.888395242
629566.2499445621,5049215.221088458
629547.3540011111,5049039.391427265
629552.3809542446,5048923.967394581
629535.8847474321,5048692.991549889
629531.6036287316,5048428.884279948
629593.0877843725,5048076.884127066
629658.1094277366,5047705.860664448
629827.126833814,5047332.986319104
630059.7133145024,5047073.366734017
630353.8653674813,5046980.455752483
630721.3013143518,5047052.96101225
631099.2036615405,5047205.786780486
631463.0178111006,5047374.057623694
631804.8050221467,5047497.936204772
632042.545702836,5047573.709790021
632235.4746660262,5047561.349195413
632352.589183041,5047552.211720598
632385.6886110469,5047525.223398911
632414.1849999982,5047467.877469307
632382.8551575843,5047427.801657638
632376.2998954004,5047318.852627951
632461.8809453668,5047078.606260307
632625.2325541896,5046703.433177168
632770.5839040974,5046232.652139615
632903.9166250788,5045819.999787178
633025.1039846917,5045402.769830862
633136.6410498656,5045051.024095584
633155.7931321204,5044829.962633442
633189.8667836799,5044692.528834079
633285.0903461869,5044562.137671529
633438.3137544441,5044385.800220959
633548.7608947724,5044193.67151705
633658.5876546754,5044122.219774645
633761.6652846921,5043936.94291718
633842.964164587,5043701.112850171
633846.5969420339,5043394.065324125
633873.812558224,5042979.077446673
633941.4876979291,5042440.538893418
634033.1119191257,5041797.343697764
634123.6181889691,5041217.5727936
634217.1043916547,5040816.508778347
634258.6052733188,5040475.37623968
634264.0219136935,5040290.696830092
634237.187255435,5040278.237889346
634272.7027331379,5040255.131790325
634309.3676032323,5040133.016036795
634320.9340837703,5039996.921118827
634329.1295355835,5039836.69507643
634270.2111125755,5039612.910099627
634161.2079793266,5039343.859618906
634007.3840202257,5039053.24935971
633815.6707595786,5038736.017549298
633657.6520094607,5038423.868503457
633516.5818119704,5038159.439292311
633388.7369714694,5037923.507166823
633316.0659584971,5037708.814344482
633242.1676071568,5037510.463705116
633185.4187492994,5037287.891754484
633124.3306591716,5037060.695913531
633060.4473380132,5036851.264738992
633022.633727595,5036666.060621873
632930.8174755228,5036516.353841484
632800.0856552179,5036302.228037165
632634.4725502525,5036075.920708616
632431.9221488219,5035838.383578571
632223.6897066101,5035599.728649163
632041.6521601855,5035431.903012095
631926.3984767128,5035290.551700231
631870.7110539011,5035135.660982229
631794.4548503631,5034989.83796129
631731.8349575241,5034893.266077249
631668.6915623544,5034837.959576054
631591.5763104875,5034810.887620038
631508.5735709465,5034864.846874787
631433.0850928864,5034988.815056102
631285.7020836782,5035143.297911817
631074.6177145052,5035286.658359982
630813.4901793846,5035422.509207219
630496.4323798774,5035530.936299421
630150.7877663801,5035608.737274217
629836.4002532624,5035635.023038754
629545.4616673066,5035674.948461683
629341.572253474,5035737.473471206
629128.8933209659,5035859.282063598
628957.1125527541,5035981.63088981
628853.2082279625,5036111.278872836
