x,y,marker
638148.49008,5071315.06066,0
638210,5071500.88588,0
638170,5071641.17992,0
638199.84427,5071860.87208,0
638150.03559,5071999.27234,0
638519.707,5072778.35927,0
638620.20531,5073369.79469,0
638838.49008,5073455.06066,0
638980.20531,5073939.79469,0
639369.707,5074388.35927,0
639360.03559,5074509.27234,0
639419.40403,5074670.74011,0
639310.20531,5075169.79469,0
639596.41774,5075352.48579,0
639690.20531,5075549.79469,0
639800.20531,5075629.79469,0
640224.03841,5075770.97581,0
640290.20531,5075879.79469,0
640540.20531,5076009.79469,0
640844.03841,5076090.97581,0
641130.20531,5076369.79469,0
641344.03841,5076430.97581,0
641548.49008,5076575.06066,0
641610.20531,5076839.79469,0
641708.80246,5076925.5677,0
641789.707,5077158.35927,0
641770,5077518.82008,0
641820.03559,5078079.27234,0
641910.20531,5078309.79469,0
642108.80246,5078525.5677,0
642270.03559,5079219.27234,0
642419.707,5079528.35927,0
642379.707,5079751.64073,0
642270.03559,5079990.72766,0
642270.03559,5080249.27234,0
642439.84427,5080799.12792,0
642460,5080979.11412,0
642420.03559,5081159.27234,0
642618.80246,5081385.5677,0
642660.03559,5081839.27234,0
642739.84427,5082069.12792,0
642640,5082271.17992,0
642670.03559,5082669.27234,0
642729.84427,5082789.12792,0
642700.20531,5082859.79469,0
642940.70804,5082740,0
642988.80246,5082745.5677,0
642999.79469,5082839.79469,0
643002.69539,5082753.70266,0
643059.27234,5082769.96441,0
643089.96441,5082729.27234,0
643023.19237,5082663.28858,0
643151.17992,5082700,0
643209.79469,5082669.79469,0
643185.5677,5082491.19754,0
643281.17992,5082530,0
643469.27234,5082509.96441,0
643473.03654,5082413.03654,0
643629.79469,5082359.79469,0
643656.90983,5082280.88785,0
643719.27234,5082309.96441,0
643988.66772,5082190.18961,0
644079.79469,5082209.79469,0
644089.79469,5082110.20531,0
643980.88367,5082137.45172,0
644155.96159,5082000.97581,0
644279.29196,5081970,0
644640.72766,5082059.96441,0
644719.79469,5082039.79469,0
644879.96441,5081879.27234,0
644889.79469,5081800.20531,0
644772.00754,5081705.78015,0
644795.96159,5081670.97581,0
645180.487222727,5081817.59795348,1
645233.022634886,5081705.36320932,1
644881.19754,5081555.5677,0
645119.79469,5081509.79469,0
645133.58226,5081442.48579,0
645465.79356,5081161.25631,0
645639.79469,5081169.79469,0
645679.96441,5081010.72766,0
645538.66759,5080674.88334,0
645629.96441,5080500.72766,0
645575.79356,5080528.74369,0
645540.88785,5080443.09017,0
645589.79469,5080300.20531,0
645261.50992,5079954.93934,0
644909.79469,5079390.20531,0
644731.50992,5079254.93934,0
644580.88367,5078952.54828,0
644689.96441,5078869.27234,0
644689.96441,5078710.72766,0
